match_round,home_team,away_team,tweet_retweets_home,tweet_favorites_home,tweet_retweets_away,tweet_favorites_away,label
30,Chelsea,Wolves,926,5813,558,4420,0
30,Crystal Palace,Brighton,736,5873,780,6053,2
30,Huddersfield,Bournemouth,481,3699,816,4757,2
30,Leicester,Fulham,676,5834,525,2913,1
30,Liverpool,Burnley,1812,13003,163,619,1
30,Manchester City,Watford,3349,23124,498,2346,1
30,Newcastle,Everton,3010,8435,582,4029,1
30,Southampton,Tottenham,664,7214,1785,13308,1
31,Bournemouth,Newcastle,741,5097,839,6105,0
31,Brighton,Cardiff,244,2536,1845,10323,2
31,Burnley,Leicester,196,584,818,5950,2
31,Everton,Chelsea,925,6477,1172,7425,1
31,Fulham,Liverpool,435,1823,2692,12692,2
31,Manchester Utd,Manchester City,1059,5898,4017,32700,2
31,Tottenham,Crystal Palace,864,5415,825,5351,1
31,Watford,Southampton,949,7894,627,7552,0
31,West Ham,Huddersfield,453,3235,425,3725,1
31,Wolves,Arsenal,375,3388,6350,58261,1
32,Arsenal,Newcastle,2330,15802,456,3141,1
32,Brighton,Southampton,802,5348,859,7488,2
32,Burnley,Wolves,370,985,1387,9120,1
32,Cardiff,Chelsea,355,1826,2863,19612,2
32,Crystal Palace,Huddersfield,499,3651,597,4532,1
32,Fulham,Manchester City,696,3955,2218,22866,2
32,Leicester,Bournemouth,904,6363,574,4037,1
32,Liverpool,Tottenham,4342,38456,846,5125,1
32,Manchester Utd,Watford,2690,16760,384,2906,1
32,West Ham,Everton,491,2025,731,4329,2
33,Bournemouth,Burnley,680,3522,242,1023,2
33,Chelsea,West Ham,4363,23795,585,3132,1
33,Everton,Arsenal,1078,8252,1192,4960,1
33,Huddersfield,Leicester,541,5245,941,6653,2
33,Manchester City,Cardiff,3378,25674,1156,9106,1
33,Newcastle,Crystal Palace,639,4492,440,4276,2
33,Southampton,Liverpool,699,5538,2552,17889,2
33,Tottenham,Brighton,1043,8973,364,4176,1
33,Watford,Fulham,548,5801,409,2927,1
33,Wolves,Manchester Utd,259,2868,2597,14697,1
34,Brighton,Bournemouth,620,6985,694,3740,2
34,Burnley,Cardiff,308,945,502,3400,1
34,Crystal Palace,Manchester City,969,5689,3468,27761,2
34,Fulham,Everton,273,1573,1027,13233,1
34,Leicester,Newcastle,671,5574,475,2962,2
34,Liverpool,Chelsea,3026,22168,2950,19327,1
34,Manchester Utd,West Ham,715,4497,460,2274,1
34,Southampton,Wolves,500,5432,907,6963,1
34,Tottenham,Huddersfield,998,9966,334,2834,1
34,Watford,Arsenal,1646,9272,3457,24600,2
35,Arsenal,Crystal Palace,2940,17077,1372,8163,2
35,Bournemouth,Fulham,899,6513,220,1430,2
35,Cardiff,Liverpool,504,3908,3330,25518,2
35,Chelsea,Burnley,962,6405,178,784,0
35,Everton,Manchester Utd,902,7835,3200,18171,1
35,Huddersfield,Watford,543,3857,2550,10212,2
35,Manchester City,Tottenham,3621,27371,1582,16202,1
35,Newcastle,Southampton,840,6915,886,6748,1
35,West Ham,Leicester,216,1194,409,3317,0
35,Wolves,Brighton,764,6102,385,3416,0
36,Brighton,Newcastle,528,5967,3639,6434,0
36,Burnley,Manchester City,481,1889,2662,25542,2
36,Crystal Palace,Everton,444,3287,1013,7482,0
36,Fulham,Cardiff,457,2097,670,4409,1
36,Leicester,Arsenal,536,4148,2220,11807,1
36,Liverpool,Huddersfield,1729,10232,486,6234,1
36,Manchester Utd,Chelsea,1450,10289,2885,20911,0
36,Southampton,Bournemouth,3117,13456,1000,5105,0
36,Tottenham,West Ham,1388,11359,401,2206,2
36,Watford,Wolves,599,5622,744,8222,2
37,Arsenal,Brighton,2508,19885,583,6031,0
37,Bournemouth,Tottenham,1172,8916,983,6423,1
37,Cardiff,Crystal Palace,318,1641,960,7799,2
37,Chelsea,Watford,2338,16421,388,3495,1
37,Everton,Burnley,1145,7385,215,785,1
37,Huddersfield,Manchester Utd,1519,12233,2268,17704,0
37,Manchester City,Leicester,3523,26602,592,4415,1
37,Newcastle,Liverpool,1703,10292,1522,7692,2
37,West Ham,Southampton,687,4934,674,6658,1
37,Wolves,Fulham,748,7488,303,2146,1
38,Brighton,Manchester City,1223,13290,5583,36981,2
38,Burnley,Arsenal,249,1429,5630,45336,2
38,Crystal Palace,Bournemouth,1069,10324,567,2818,1
38,Fulham,Newcastle,661,6488,1122,7580,2
38,Leicester,Chelsea,582,5508,2552,19412,0
38,Liverpool,Wolves,1362,8970,918,7546,1
38,Manchester Utd,Cardiff,2807,19414,444,2825,2
38,Southampton,Huddersfield,644,6779,917,7891,0
38,Tottenham,Everton,2436,13322,804,7414,0
38,Watford,West Ham,696,6420,539,2805,2
