Date,HomeTeam,AwayTeam,FTHG,FTAG,label,7_day_before_like_x,7_day_before_love_x,7_day_before_wow_x,7_day_before_sorry_x,7_day_before_anger_x,7_day_before_haha_x,7_day_before_like_y,7_day_before_love_y,7_day_before_wow_y,7_day_before_sorry_y,7_day_before_anger_y,7_day_before_haha_y
02/12/2018,Chelsea,Fulham,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,609.0,31.0,3.0,0.0,1.0,3.0
02/02/2019,Crystal Palace,Fulham,2,0,1,5658.0,517.0,33.0,3.0,47.0,10.0,18864.0,1745.0,196.0,122.0,325.0,64.0
29/09/2018,Everton,Fulham,3,0,1,11147.0,906.0,30.0,199.0,201.0,190.0,1652.0,78.0,3.0,1.0,13.0,0.0
05/11/2018,Huddersfield,Fulham,1,0,1,349.0,23.0,1.0,0.0,5.0,1.0,726.0,22.0,1.0,0.0,10.0,0.0
09/03/2019,Leicester,Fulham,3,1,1,19798.0,504.0,86.0,43.0,89.0,43.0,11907.0,560.0,313.0,85.0,63.0,15.0
11/11/2018,Liverpool,Fulham,2,0,1,34714.0,4153.0,174.0,17.0,1343.0,60.0,693.0,33.0,1.0,0.0,0.0,1.0
15/09/2018,Man City,Fulham,3,0,1,30991.0,2741.0,348.0,8.0,200.0,29.0,1186.0,85.0,10.0,2.0,2.0,0.0
08/12/2018,Man United,Fulham,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,861.0,16.0,2.0,0.0,3.0,2.0
22/12/2018,Newcastle,Fulham,0,0,0,774.0,29.0,3.0,2.0,74.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
27/02/2019,Southampton,Fulham,2,0,1,4771.0,260.0,25.0,186.0,80.0,104.0,3300.0,151.0,12.0,143.0,100.0,136.0
18/08/2018,Tottenham,Fulham,3,1,1,82856.0,6558.0,323.0,50.0,2585.0,44.0,3860.0,305.0,28.0,3.0,7.0,2.0
02/04/2019,Watford,Fulham,4,1,1,2211.0,51.0,12.0,29.0,27.0,3.0,4866.0,215.0,13.0,84.0,130.0,14.0
22/02/2019,West Ham,Fulham,3,1,1,9199.0,386.0,43.0,11.0,16.0,46.0,1380.0,82.0,4.0,0.0,35.0,1.0
04/05/2019,Wolves,Fulham,1,0,1,29438.0,6244.0,321.0,13.0,217.0,62.0,8865.0,1068.0,55.0,4.0,99.0,10.0
08/12/2018,Arsenal,Huddersfield,1,0,1,23867.0,2709.0,94.0,586.0,210.0,1085.0,508.0,34.0,1.0,0.0,4.0,1.0
04/12/2018,Bournemouth,Huddersfield,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,274.0,14.0,0.0,0.0,1.0,0.0
02/03/2019,Brighton,Huddersfield,1,0,1,1195.0,92.0,10.0,141.0,2.0,21.0,568.0,36.0,1.0,4.0,10.0,0.0
