match_round,home_team,away_team,team,sentiment_analysis
21,Chelsea,Newcastle,Newcastle,0.20336766090303826
21,Crystal Palace,Tottenham,Crystal Palace,0.2735179819516397
21,Crystal Palace,Tottenham,Tottenham,0.2568954147452789
21,Everton,Manchester City,Everton,0.20446541664808876
21,Everton,Manchester City,Manchester City,0.2815592521051382
21,Leicester,Aston Villa,Leicester,0.09958345358345357
21,Leicester,Aston Villa,Aston Villa,0.14966759431045143
21,Sunderland,Liverpool,Sunderland,0.21539370891454226
21,Sunderland,Liverpool,Liverpool,0.24365841366709423
21,Swansea,West Ham,Swansea,0.2266504329004329
21,Swansea,West Ham,West Ham,0.18104108870394087
21,West Brom,Hull,West Brom,0.10443789607952723
21,West Brom,Hull,Hull,0.24854978354978355
20,Aston Villa,Crystal Palace,Aston Villa,0.19463524130190799
20,Aston Villa,Crystal Palace,Crystal Palace,0.18228319279100524
20,Hull,Everton,Hull,0.00019727826331602193
20,Hull,Everton,Everton,0.11644268774703567
20,Liverpool,Leicester,Liverpool,0.300492925569275
20,Liverpool,Leicester,Leicester,0.33218175798585575
20,Manchester City,Sunderland,Manchester City,0.2663886077847117
20,Manchester City,Sunderland,Sunderland,0.05570014050277208
20,Newcastle,Burnley,Newcastle,0.06355101495726495
20,Newcastle,Burnley,Burnley,0.28164886964886965
20,QPR,Swansea,QPR,0.1382611125258184
20,QPR,Swansea,Swansea,0.1316268182647493
20,Southampton,Arsenal,Southampton,0.32036258542768953
20,Southampton,Arsenal,Arsenal,0.27443052658400463
20,Stoke,Manchester Utd,Stoke,0.20994539391935224
20,Stoke,Manchester Utd,Manchester Utd,0.17586404422090815
20,Tottenham,Chelsea,Tottenham,0.20690318025672505
20,Tottenham,Chelsea,Chelsea,0.2110265200423246
20,West Ham,West Brom,West Ham,0.19874552843847862
20,West Ham,West Brom,West Brom,0.13749389705128695
19,Liverpool,Swansea,Liverpool,0.26811718239045135
19,Liverpool,Swansea,Swansea,0.35137755102040824
19,Aston Villa,Sunderland,Aston Villa,0.22891839826839827
19,Aston Villa,Sunderland,Sunderland,0.31879175154910455
19,Hull,Leicester,Hull,0.21585373234221927
19,Hull,Leicester,Leicester,0.28444913419913426
19,Manchester City,Burnley,Manchester City,0.3392327151586411
19,Manchester City,Burnley,Burnley,0.2446097582972583
19,Newcastle,Everton,Newcastle,0.20075792713779728
19,Newcastle,Everton,Everton,0.14553240339907006
19,QPR,Crystal Palace,QPR,0.25600751563251567
19,QPR,Crystal Palace,Crystal Palace,0.32342084998335
19,Southampton,Chelsea,Southampton,0.38557892658108167
19,Southampton,Chelsea,Chelsea,0.29758377587145973
19,Stoke,West Brom,Stoke,0.36556732825706034
19,Stoke,West Brom,West Brom,0.16416113777526817
19,Tottenham,Manchester Utd,Tottenham,0.2531122381612578
19,Tottenham,Manchester Utd,Manchester Utd,0.28700273244023244
19,West Ham,Arsenal,West Ham,0.323179600298072
19,West Ham,Arsenal,Arsenal,0.28217424129541224
18,Arsenal,QPR,Arsenal,0.22167078186964548
18,Arsenal,QPR,QPR,0.2735671446608946
18,Burnley,Liverpool,Burnley,0.16171536796536803
18,Burnley,Liverpool,Liverpool,0.28066378584697554
18,Chelsea,West Ham,Chelsea,0.2936183001480776
18,Chelsea,West Ham,West Ham,0.4398927389660148
18,Crystal Palace,Southampton,Crystal Palace,0.30138305322128855
18,Crystal Palace,Southampton,Southampton,0.32462089381207043
18,Everton,Stoke,Everton,0.2226653712449167
18,Everton,Stoke,Stoke,0.14584257206208423
18,Leicester,Tottenham,Leicester,0.1380661976911977
18,Leicester,Tottenham,Tottenham,0.33633158320658324
18,Manchester Utd,Newcastle,Manchester Utd,0.25657011244405314
18,Manchester Utd,Newcastle,Newcastle,0.19258757525998907
18,Sunderland,Hull,Sunderland,0.20839780597810106
18,Sunderland,Hull,Hull,0.23804394115369717
18,Swansea,Aston Villa,Swansea,0.4339162731208187
18,Swansea,Aston Villa,Aston Villa,0.2793570626903961
18,West Brom,Manchester City,West Brom,0.2161908392993726
18,West Brom,Manchester City,Manchester City,0.2848752190270047
17,Stoke,Chelsea,Stoke,0.2917265325670498
17,Stoke,Chelsea,Chelsea,0.37155786409401764
17,Liverpool,Arsenal,Liverpool,0.27095616480871776
17,Liverpool,Arsenal,Arsenal,0.3680963258068972
17,Newcastle,Sunderland,Newcastle,0.17697100231639706
17,Newcastle,Sunderland,Sunderland,0.25295336029711035
17,Aston Villa,Manchester Utd,Aston Villa,0.10606922398589068
17,Aston Villa,Manchester Utd,Manchester Utd,0.2892445054945054
17,Hull,Swansea,Hull,0.12330080943362191
17,Hull,Swansea,Swansea,0.24877119408369408
17,Manchester City,Crystal Palace,Manchester City,0.31727470917285744
17,Manchester City,Crystal Palace,Crystal Palace,0.42134103641456583
17,QPR,West Brom,QPR,0.2793611793611793
17,QPR,West Brom,West Brom,0.35948038586927483
17,Southampton,Everton,Southampton,0.026340867693326723
17,Southampton,Everton,Everton,0.2547056534735106
17,Tottenham,Burnley,Tottenham,0.279423126710071
17,Tottenham,Burnley,Burnley,0.22196289190607377
17,West Ham,Leicester,West Ham,0.29495443971737073
17,West Ham,Leicester,Leicester,0.11592424242424242
16,Everton,QPR,Everton,0.17251187245590235
16,Everton,QPR,QPR,0.3778402615902617
16,Manchester Utd,Liverpool,Manchester Utd,0.21702320558905383
16,Manchester Utd,Liverpool,Liverpool,0.1834924621473535
16,Swansea,Tottenham,Swansea,0.2809166280148423
16,Swansea,Tottenham,Tottenham,0.2460961299502966
16,Arsenal,Newcastle,Arsenal,0.3043978640928498
16,Arsenal,Newcastle,Newcastle,0.19199182513914653
16,Burnley,Southampton,Burnley,0.2176539276695526
16,Burnley,Southampton,Southampton,0.2396344229330341
16,Chelsea,Hull,Chelsea,0.2677755418771044
16,Chelsea,Hull,Hull,0.24034184854497354
16,Crystal Palace,Stoke,Crystal Palace,0.269183680902431
16,Crystal Palace,Stoke,Stoke,0.30345361509835195
16,Leicester,Manchester City,Leicester,0.10279012345679012
16,Leicester,Manchester City,Manchester City,0.25429448299404006
16,Sunderland,West Ham,Sunderland,0.30960730350378785
16,Sunderland,West Ham,West Ham,0.4202333754208756
16,West Brom,Aston Villa,West Brom,0.1355042169530806
16,West Brom,Aston Villa,Aston Villa,0.20933715589965587
15,Southampton,Manchester Utd,Southampton,0.12516400266400263
15,Southampton,Manchester Utd,Manchester Utd,0.2662463040771864
15,Aston Villa,Leicester,Aston Villa,0.3086072091174132
15,Aston Villa,Leicester,Leicester,0.030260926938558506
15,West Ham,Swansea,West Ham,0.2557313218848145
15,West Ham,Swansea,Swansea,0.2685075014854426
15,Hull,West Brom,Hull,0.1882362914862915
15,Hull,West Brom,West Brom,0.16444491669384653
15,Liverpool,Sunderland,Liverpool,0.2841170710775367
15,Liverpool,Sunderland,Sunderland,0.2475051720943925
15,Manchester City,Everton,Manchester City,0.24955787195499177
15,Manchester City,Everton,Everton,0.15077683725005156
15,Newcastle,Chelsea,Newcastle,0.2236616161616161
15,Newcastle,Chelsea,Chelsea,0.2812656606794765
15,QPR,Burnley,QPR,0.2071281550952067
15,QPR,Burnley,Burnley,0.2171559343434343
15,Stoke,Arsenal,Stoke,0.2146632620851371
15,Stoke,Arsenal,Arsenal,0.28390106231338524
15,Tottenham,Crystal Palace,Tottenham,0.1360765599343186
15,Tottenham,Crystal Palace,Crystal Palace,0.2741765711140711
14,Arsenal,Southampton,Arsenal,0.2943128705967907
14,Arsenal,Southampton,Southampton,0.21314414090002862
14,Chelsea,Tottenham,Chelsea,0.24269473392587618
14,Chelsea,Tottenham,Tottenham,0.3451894586894587
14,Everton,Hull,Everton,0.20734569527994848
14,Everton,Hull,Hull,0.14641861405428647
14,Sunderland,Manchester City,Sunderland,0.3173320975714593
14,Sunderland,Manchester City,Manchester City,0.20665942356362912
14,Burnley,Newcastle,Burnley,0.22648771080210475
