post_id,like,love,wow,haha,sorry,anger
10156504148611277,3205,386,16,41,2,1
10156499785096277,0,0,0,0,0,0
10156499609271277,5874,96,25,1772,465,1093
10156499472406277,2897,69,8,187,16,53
"10156499306061277"",""10156499129761277",0,0,0,0,0,0
10156499252641277,6153,321,24,179,10,26
10156495007581277,10194,644,42,368,4,7
10156494190551277,45310,3538,1359,215,6,20
10156494185711277,3999,216,4,31,1,2
"10156494208196277"",""10156494207736277",0,0,0,0,0,0
10156492274446277,2086,197,2,13,0,1
10156494021421277,0,0,0,0,0,0
10156490223611277,18298,419,88,32,18,4
2204184459681983,1509,111,3,3,29,5
10156490044981277,0,0,0,0,0,0
"10156489721226277"",""10156489318706277",0,0,0,0,0,0
10156489431326277,5652,322,37,4,1,8
10156488937891277,0,0,0,0,0,0
10156486662076277,7516,861,12,37,1,1
10156486285591277,1576,119,1,3,0,3
10156485643636277,1687,200,0,14,0,0
10156485614266277,7143,541,26,3,8,0
10156485628571277,0,0,0,0,0,0
10156483702906277,0,0,0,0,0,0
10156480098696277,4400,272,22,4,0,1
10156479409396277,4700,296,3,104,0,1
10156479142616277,7861,689,13,42,0,2
"10156478691001277"",""10156478401336277",0,0,0,0,0,0
10156478861791277,11969,1257,31,51,2,1
10156478801376277,18545,2363,140,41,4,5
10156478750476277,8187,758,13,27,2,3
10156478621116277,5828,506,25,2,2,1
10156478477671277,7210,409,77,14,7,24
10156480114036277,0,0,0,0,0,0
10156476352991277,2966,118,11,1,0,1
10156476299016277,0,0,0,0,0,0
10156476154306277,5327,483,6,47,0,2
10156474356551277,29292,1738,160,58,5,2
10156474340456277,6511,396,37,4,0,0
445670246388337,2758,320,8,5,1,2
10156474238041277,2886,291,12,5,0,0
"10156473797046277"",""10156473621361277",0,0,0,0,0,0
10156473990471277,0,0,0,0,0,0
10156473760711277,7433,375,74,17,3,7
10156465888766277,10312,322,17,20,1,0
10156470755481277,948,83,4,2,0,1
10156469656871277,4866,616,5,84,1,0
10156468190416277,0,0,0,0,0,0
10156466516866277,17123,1757,120,37,1,1
"10156465648396277"",""10156465647081277",0,0,0,0,0,0
10156465648941277,0,0,0,0,0,0
10156465570021277,0,0,0,0,0,0
10156466518146277,0,0,0,0,0,0
10156461806261277,9676,1242,326,16,4,1
10156464259761277,0,0,0,0,0,0
10156461653161277,2589,117,2,10,0,0
10156461032446277,988,86,17,1,0,0
10156461023936277,8796,950,42,75,3,3
10156460970396277,0,0,0,0,0,0
10156460923831277,19316,3172,24,43,175,1
"10156460735006277"",""10156460648706277",0,0,0,0,0,0
10156460837611277,5153,171,13,133,29,40
10156460594226277,0,0,0,0,0,0
10156460563326277,19586,2119,353,49,13,10
10156460538721277,9133,1441,254,34,9,7
10156460533871277,0,0,0,0,0,0
10156460506021277,4750,233,12,28,0,8
10156459590271277,3398,164,10,16,1,0
10156460682871277,0,0,0,0,0,0
10156458432346277,0,0,0,0,0,0
10156458170791277,0,0,0,0,0,0
10156457997161277,0,0,0,0,0,0
10156457687581277,14154,1868,174,12,1,0
10156456493881277,2035,185,3,5,0,0
10156455417426277,0,0,0,0,0,0
10156454452596277,1313,113,1,6,34,0
"10156453844156277"",""10156453843816277",0,0,0,0,0,0
10156454246021277,3809,178,17,75,584,25
10156454071076277,2218,39,12,166,80,101
10156453834766277,3548,155,4,20,3,5
10156453781776277,0,0,0,0,0,0
10156453034971277,0,0,0,0,0,0
10156449406451277,1533,48,15,104,13,20
10156450707866277,0,0,0,0,0,0
10156449023956277,2384,143,7,8,0,1
10156448600141277,1500,98,7,3,0,0
10156447087301277,6896,399,28,552,2,10
10156446274986277,22926,331,49,121,30,139
10156446303791277,3989,207,7,18,0,1
10156446170851277,0,0,0,0,0,0
10156446062716277,8633,451,18,88,21,134
"10156445997486277"",""10156445648461277",0,0,0,0,0,0
10156445938361277,9317,1200,30,752,4,24
10156445718086277,5417,238,73,40,6,10
10156445625321277,0,0,0,0,0,0
10156443345951277,9188,683,47,206,16,22
10156443323421277,530,30,1,2,0,0
10156443013501277,3279,289,4,74,0,1
10156441203791277,0,0,0,0,0,0
10156440896026277,0,0,0,0,0,0
10156440590101277,0,0,0,0,0,0
10156439390871277,269,23,0,0,0,0
2600795993290333,17,5,0,0,0,0
10156439482856277,0,0,0,0,0,0
10156438636521277,1038,28,0,62,0,0
10156436627916277,3808,600,15,5,0,0
10156436484621277,859,201,1,1,1,0
10156436096291277,16477,1011,160,13,0,3
10156434601886277,1014,85,1,12,0,0
10156434622956277,3600,984,15,3,3,0
10156433348561277,0,0,0,0,0,0
10156432365591277,5057,608,7,19,0,2
10156431545516277,911,70,1,425,0,3
10156428986191277,2495,137,8,3,0,1
10156428502471277,5670,590,6,9,0,2
10156427057321277,26929,3948,63,382,6,14
10156427034441277,52129,3064,550,170,41,49
10156426289581277,4876,1155,4,14,0,1
10156426244991277,2345,437,7,28,0,1
10156426121781277,0,0,0,0,0,0
"10156425769166277"",""10156425593046277",0,0,0,0,0,0
10156426084261277,20217,4141,256,425,39,41
10156425865906277,4669,575,37,17,2,5
10156425726116277,3766,108,20,61,17,87
10156425570116277,5805,1428,13,26,2,1
10156423900641277,3482,238,7,34,2,2
10156423493986277,2138,335,1,11,1,0
10156421527511277,4010,364,58,166,465,16
10156419451251277,967,16,12,106,154,360
10156419163931277,6726,158,82,1811,634,1144
10156418998771277,2629,48,23,315,76,268
"10156418704071277"",""10156418472901277",0,0,0,0,0,0
10156418648216277,3220,135,11,77,29,152
10156417957116277,0,0,0,0,0,0
10156417134581277,5114,246,10,83,6,2
10156414537291277,731,15,7,39,11,60
10156414125121277,1923,208,7,2,1,0
"10156409596081277"",""10156409439521277",0,0,0,0,0,0
10156409968646277,5185,76,42,343,681,621
10156409799331277,2753,181,21,35,8,12
10156409569916277,2387,47,9,43,9,112
10156404365981277,1124,37,2,14,2,2
10156404865911277,452,20,2,4,0,1
10156406480976277,2845,203,8,0,1,0
10156404628646277,5394,457,53,20,5,3
10156404427936277,831,20,3,46,7,68
10156402018631277,1079,75,2,4,1,0
"10156390222786277"",""10156389971316277",0,0,0,0,0,0
10156390149866277,3815,177,17,50,23,142
10156387638516277,2011,96,15,6,5,4
10156388888891277,646,48,2,11,0,1
10156387885576277,2145,178,2,331,0,0
10156387320046277,2770,220,6,13,0,2
10156385066241277,688,47,1,0,0,0
10156382732941277,803,36,1,44,0,1
10156382615746277,3465,138,1,1111,1,2
10156378803251277,6678,460,10,25,1,0
10156376352356277,8117,1088,20,78,2,4
2474802495938886,913,238,2,7,0,1
10156375276451277,1560,71,7,0,0,0
10156373402066277,3001,67,4,32,191,2
10156372714696277,2734,287,4,0,0,1
10156372674431277,2815,234,9,12,3,0
10156370969651277,2039,153,4,53,0,0
10156370268361277,645,49,0,5,0,1
10156365556146277,1209,146,4,6,0,1
10156365972061277,1955,248,2,5,0,0
10156364535676277,3677,491,32,6,1,0
10156364432191277,481,30,1,0,0,0
10156363758106277,3187,185,5,1,1,0
"10156362043671277"",""10156362032596277",0,0,0,0,0,0
10156361823036277,2020,330,2,13,0,0
10156360720911277,1210,206,0,0,59,1
10156357152166277,4285,198,24,1,1,0
10156358136076277,2160,359,2,1,146,2
10156356526586277,1132,67,2,6,1,0
10156356029951277,5424,550,15,8,1,0
10156355993446277,9817,1030,54,19,3,7
"10156355814366277"",""10156355543411277",0,0,0,0,0,0
10156355624171277,5881,296,18,17,73,17
10156354450186277,2554,139,14,3,2,0
"10156352928606277"",""10156352928471277",0,0,0,0,0,0
10156350469606277,1340,99,1,1,32,6
10156346122776277,13594,2427,23,4,390,0
10156345665816277,15537,670,15,15,203,3
10156345888931277,849,89,5,1,1,0
10156343872911277,13291,2758,26,9,765,2
10156342364861277,11647,1307,66,14,4687,11
10156341955931277,27541,1894,305,27,32,5
10156341929841277,12282,1400,11,3,590,2
10156341795771277,15208,1869,49,9,4373,10
"10156341058941277"",""10156341057421277",0,0,0,0,0,0
10156341669371277,8725,561,22,13,1139,35
10156341499791277,1854,46,6,11,12,40
10156340512746277,0,0,0,0,0,0
10156331107826277,2239,209,6,2,0,0
10156330511126277,0,0,0,0,0,0
10156329457021277,8954,416,46,6,1,0
10156329436706277,30277,1493,289,39,1,5
"10156328636086277"",""10156328635106277",0,0,0,0,0,0
